z=1	z=5	z=10	z=20	z=30	z=60	
8883.966061660418	10287.74658902361	10399.205807054892	11138.320781003154	15031.271734874188	25300.900229738334	
8927.503165544333	10320.921847537156	10433.170597850709	11177.563581058514	15098.325413606966	25441.36519253783	
8970.97404285583	10354.112556665637	10467.170801360406	11216.875931153583	15165.379835990007	25581.91042463857	
9014.608910716046	10387.276139418362	10501.139805595505	11256.118528430508	15232.419360955175	25722.22171988401	
9058.207549089544	10420.455846836516	10535.097805282996	11295.385262459899	15299.458160730996	25862.57423848552	
9101.623971705936	10453.628582289784	10569.080769527804	11334.609556340194	15366.492161991655	26003.00826702157	
9145.05801554381	10486.812851166187	10603.059028416996	11373.935032047417	15433.54173530608	26143.526691203326	
9188.545978893479	10519.982716708257	10637.017351108738	11413.13583131739	15500.581958462923	26283.950849742494	
9231.865612654083	10553.155972707546	10670.986289854622	11452.35719553267	15567.694706440478	26424.249471247684	
9275.323675315103	10586.333200477875	10704.976814875426	11491.663029911759	15634.782721949847	26564.5838422385	
9318.818851122804	10619.502039802212	10738.929765725255	11530.874932421495	15701.899056075692	26704.965789870366	
9362.22853728987	10652.672562767864	10772.895937323943	11570.068278224117	15768.974141629134	26845.44067974625	
9405.63819874702	10685.846995673584	10806.852322043405	11609.326456042494	15836.070645522492	26985.74873059066	
9449.064599897747	10719.010200390097	10840.815407675816	11648.613089457234	15903.119522949084	27126.134948676667	
9492.611016444878	10752.186438401355	10874.78529544159	11687.892513876177	15970.206446961565	27266.42793468464	
9536.096767869944	10785.362903794718	10908.742365245806	11727.143129379738	16037.249260116687	27406.823621712967	
9579.53442148187	10818.53718110119	10942.708847641456	11766.470217117521	16104.356474388867	27547.31015079921	
